Número de orden;cliente_hash;Fecha;Estado de la orden;Estado del pago;Estado del envío;Moneda;Subtotal de productos;Descuento;Costo de envío;Total;Provincia o estado;País;Medio de envío;Medio de pago;Cupón de descuento;Fecha de pago;Fecha de envío;Nombre del producto;Precio del producto;Cantidad del producto;SKU;Canal;Identificador de la orden;Producto Físico;Sucursal de venta;Fecha y hora de cancelación;Motivo de cancelación;Orden editada;Saldo a cobrar / reembolsar;Reembolso;Costo de procesamiento;Cantidad de cuotas;Interés por cuotas;Impuestos;Devolución de cargos;Total neto;Forma de pago;Dinero disponible para retirar a partir de;Estado del contracargo;Fecha de reembolso;Fecha de vencimiento del pago;Venta original
6326;dd730fe2e2;07/08/2026 14:38:23;Abierta;Recibido;Entregado;ARS;48000;13200.00;0;34800;Gran Buenos Aires;Argentina;MANDO A RETIRAR ;Transferencia;LUCIAN15;07/08/2026;07/08/2026;AOA STUDIO - PEGA DE PESTAÑAS COREANA;18000;1;3D24A;Móvil;2039486129;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6326;dd730fe2e2;;;;;;;;;;;;;;;;;SHOOW TOOLS - CLARA BOW (BLACK);30000;1;;;;Sí;;;;;;;;;;;;;;;;;;
6323;54b06961cb;07/08/2026 00:42:26;Abierta;Recibido;Entregado;ARS;27600;5520.00;0;22080;Buenos Aires;Argentina;MANDO A RETIRAR ;Transferencia;;07/08/2026;07/08/2026;SHOOW TOOLS - MASCARA GUARD SHIELD (Aplicador de mascara/rimel);9600;1;;Móvil;2039082859;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
6323;54b06961cb;;;;;;;;;;;;;;;;;AOA STUDIO - PEGA DE PESTAÑAS COREANA;18000;1;3D24A;;;Sí;;;;;;;;;;;;;;;;;;
6322;de10621321;06/08/2026 18:01:58;Abierta;Recibido;No está empaquetado;ARS;60000;12000.00;0;48000;;Argentina;Retirado en Punto de Venta;Efectivo;POS-ORDER-1786050102066;06/08/2026;;SHOOW TOOLS - TAYLOR (BLACK) (MIXED (8/10/12/14mm));30000;2;;Punto de venta;2038749740;Sí;Beauty House;;;No;;;;;;;;;Efectivo;;;;;
6321;1e87803cc9;06/08/2026 16:13:42;Abierta;Recibido;No está empaquetado;ARS;618000;370800.00;0;247200;;Argentina;Retirado en Punto de Venta;Efectivo;POS-ORDER-1786043577036;06/08/2026;;SHOOW TOOLS - ISABEL I (BLACK) (MIXED (8/10/12/14mm));30000;4;;Punto de venta;2038657349;Sí;Beauty House;;;No;;;;;;;;;Efectivo;;;;;
6321;1e87803cc9;;;;;;;;;;;;;;;;;SHOOW TOOLS - ISABEL I (BLACK) (8mm/10mm);30000;10;;;;Sí;;;;;;;;;;;;;;;;;;
6321;1e87803cc9;;;;;;;;;;;;;;;;;SHOOW TOOLS - ISABEL I (CHOCOLATE) (8/8/10/12 mm);30000;3;;;;Sí;;;;;;;;;;;;;;;;;;
6321;1e87803cc9;;;;;;;;;;;;;;;;;SHOOW TOOLS - FOXY CAT EYE (10PAIRS);36000;3;850056827119;;;Sí;;;;;;;;;;;;;;;;;;
6320;549bf403bd;06/08/2026 09:38:38;Abierta;Recibido;No está empaquetado;ARS;36000;7200.00;9776;38576;Buenos Aires;Argentina;Envío Nube - Correo Argentino Clásico a domicilio;Transferencia;;06/08/2026;;SHOOW TOOLS - SHOOW YOU (10PAIRS);36000;1;850056827034;Móvil;2038302894;Sí;;;;No;;;;;;;;;Transferencia o depósito;;;;;
